token_id,num_sales,last_sale,class,age,genre,origin,latent
1200,0,,Poet,0.35,nas,ABD5,L7O4
1216,0,,Poet,0.35,ioh,R514,3XRI
1168,0,,Poet,0.21,ios,NZI7,C7H6
1173,0,,Poet,0.32,fes,K69D,J33L
1186,1,1.3,Poet,0.26,ion,GXLQ,3NEH
1180,0,,Poet,0.18,ion,PU37,22SQ
1119,0,,Poet,0.35,sof,VO6C,6HUH
1201,0,,Poet,0.46,ioh,H7DH,PZ6X
1187,0,,Poet,0.23,ael,PBVZ,6BN1
1235,0,,Poet,0.40,ion,SAJV,JWK9
1120,0,,Poet,0.26,aen,L273,OP3R
1202,0,,Poet,0.30,fes,UYHH,HBRP
1210,0,,Poet,0.19,ion,6MGD,JWK9
1225,0,,Poet,0.54,ioh,QNYG,CVGS
1188,0,,Poet,0.21,soi,054B,7U1D
1248,0,,Poet,0.30,iof,9UO1,RR58
1217,0,,Poet,0.35,ioh,R44I,5WHF
1121,0,,Poet,0.25,ion,2HO5,ELW8
1203,1,7.0,Poet,0.82,nas,TGUT,4B97
1211,0,,Poet,0.33,ioh,YENR,7U1D
1218,0,,Poet,0.39,iof,IGLJ,P14T
1189,1,1.5,Poet,0.25,ioh,TW3P,ZCMN
1223,0,,Poet,0.61,son,YU1M,MNMC
1122,0,,Poet,0.18,nah,PR50,OP3R
1249,0,,Poet,0.63,feh,NHIZ,17A2
1204,0,,Poet,0.25,ion,H5HP,4HZ8
1212,0,,Poet,0.28,ion,8AKC,71R2
1206,0,,Poet,0.33,soa,5AOY,ZXF2
1219,0,,Poet,0.23,ion,26L8,HS32
1123,0,,Poet,0.35,son,E1FR,R9AL
1230,0,,Poet,0.30,nai,8XGJ,M8W3
1190,0,,Poet,0.28,ioh,5PJF,X5WF
1205,0,,Poet,0.23,ioh,JIFI,ZCMN
1250,0,,Poet,0.26,ion,FY8D,IIVE
1220,0,,Poet,0.39,ion,3936,WPBU
